订单编号,总金额,买家实际支付金额,收货地址,订单创建时间,订单付款时间,退款金额
92,96.8,0,吉林省,2020/2/20 23:19,2020/2/20 23:19,96.8
93,34.9,0,广东省,2020/2/20 23:19,,0
94,64.8,64.8,贵州省,2020/2/20 23:19,2020/2/20 23:19,0
95,69,69,北京,2020/2/20 23:18,2020/2/20 23:19,0
96,37,0,北京,2020/2/20 23:18,2020/2/20 23:19,37
97,215,215,江苏省,2020/2/20 23:18,2020/2/20 23:18,0
98,69,69,河北省,2020/2/20 23:18,2020/2/20 23:18,0
99,53,53,江苏省,2020/2/20 23:18,2020/2/20 23:18,0
100,37,0,北京,2020/2/20 23:18,2020/2/20 23:18,37
101,165.5,165.5,四川省,2020/2/20 23:17,2020/2/20 23:17,0
102,69,69,北京,2020/2/20 23:16,2020/2/20 23:16,0
103,69,69,辽宁省,2020/2/20 23:16,2020/2/20 23:16,0
104,195,195,福建省,2020/2/20 23:16,2020/2/20 23:16,0
105,85,85,江苏省,2020/2/20 23:15,2020/2/20 23:15,0
106,119,119,北京,2020/2/20 23:15,2020/2/20 23:15,0
107,102,0,天津,2020/2/20 23:15,2020/2/20 23:15,102
108,128,0,吉林省,2020/2/20 23:14,,0
109,50.9,50.9,江苏省,2020/2/20 23:14,2020/2/20 23:15,0
110,119,0,江苏省,2020/2/20 23:14,2020/2/20 23:14,119
111,66.9,66.9,河南省,2020/2/20 23:13,2020/2/20 23:13,0
112,238,238,天津,2020/2/20 23:13,2020/2/20 23:13,0
113,119,119,广东省,2020/2/20 23:13,2020/2/20 23:13,0
114,37,37,四川省,2020/2/20 23:12,2020/2/20 23:12,0
115,64.8,64.8,山东省,2020/2/20 23:11,2020/2/20 23:11,0
116,37,0,浙江省,2020/2/20 23:10,2020/2/20 23:10,37
117,37,0,上海,2020/2/20 23:09,2020/2/20 23:09,37
118,119,0,黑龙江省,2020/2/20 23:09,,0
119,299.9,299.9,广东省,2020/2/20 23:08,2020/2/20 23:08,0
120,64.8,64.8,福建省,2020/2/20 23:07,2020/2/20 23:07,0
121,135,135,浙江省,2020/2/20 23:07,2020/2/20 23:07,0
122,34.9,0,山东省,2020/2/20 23:07,2020/2/20 23:07,34.9
123,238,238,上海,2020/2/20 23:07,2020/2/20 23:07,0
124,34.9,34.9,云南省,2020/2/20 23:06,2020/2/20 23:06,0
125,128,128,广东省,2020/2/20 23:06,2020/2/21 0:12,0
126,69,69,北京,2020/2/20 23:05,2020/2/20 23:05,0
127,37,37,天津,2020/2/20 23:04,2020/2/20 23:04,0
128,37,37,四川省,2020/2/20 23:04,2020/2/20 23:04,0
129,37,37,山东省,2020/2/20 23:03,2020/2/20 23:04,0
130,21,21,云南省,2020/2/20 23:03,2020/2/20 23:06,0
131,267.9,0,天津,2020/2/20 23:02,2020/2/20 23:02,267.9
132,119,119,陕西省,2020/2/20 23:00,2020/2/20 23:00,0
133,183,0,北京,2020/2/20 23:00,2020/2/20 23:00,183
134,148.9,148.9,天津,2020/2/20 22:59,2020/2/20 22:59,0
135,119,119,四川省,2020/2/20 22:59,2020/2/20 22:59,0
136,34.9,34.9,安徽省,2020/2/20 22:58,2020/2/20 22:59,0
137,302,302,浙江省,2020/2/20 22:58,2020/2/20 22:58,0
138,160,160,江苏省,2020/2/20 22:57,2020/2/20 22:57,0
139,148.9,148.9,江苏省,2020/2/20 22:56,2020/2/20 22:57,0
140,119,0,上海,2020/2/20 22:55,,0
141,64.8,64.8,天津,2020/2/20 22:55,2020/2/20 22:57,0
142,183,0,北京,2020/2/20 22:54,2020/2/20 22:54,183
143,21,0,江苏省,2020/2/20 22:54,2020/2/20 22:54,21
144,37,0,江苏省,2020/2/20 22:54,,0
145,66.9,66.9,上海,2020/2/20 22:53,2020/2/20 22:54,0
146,119,119,湖南省,2020/2/20 22:51,2020/2/20 22:51,0
147,119,0,北京,2020/2/20 22:51,2020/2/20 22:51,119
148,66.9,5,北京,2020/2/20 22:51,2020/2/20 22:51,61.9
149,276,276,北京,2020/2/20 22:50,2020/2/20 22:50,0
150,37,37,云南省,2020/2/20 22:49,2020/2/20 22:49,0
151,66.9,0,北京,2020/2/20 22:49,2020/2/20 22:49,66.9
152,114,114,天津,2020/2/20 22:48,2020/2/20 22:48,0
153,195,195,上海,2020/2/20 22:47,2020/2/20 22:47,0
154,119,119,北京,2020/2/20 22:46,2020/2/20 22:47,0
155,34.9,0,湖南省,2020/2/20 22:46,,0
156,119,0,广东省,2020/2/20 22:46,,0
157,53,53,吉林省,2020/2/20 22:45,2020/2/20 22:46,0
158,98.9,98.9,上海,2020/2/20 22:45,2020/2/20 22:46,0
159,119,119,湖南省,2020/2/20 22:45,2020/2/20 22:47,0
160,69,69,上海,2020/2/20 22:44,2020/2/20 22:44,0
161,34.9,34.9,天津,2020/2/20 22:43,2020/2/20 22:43,0
162,72.9,72.9,内蒙古自治区,2020/2/20 22:42,2020/2/20 22:42,0
163,69,0,北京,2020/2/20 22:42,2020/2/20 22:42,69
164,64.8,64.8,广东省,2020/2/20 22:41,2020/2/21 10:58,0
165,476.6,476.6,浙江省,2020/2/20 22:41,2020/2/21 0:24,0
166,183,183,上海,2020/2/20 22:41,2020/2/20 22:41,0
167,155.8,0,山东省,2020/2/20 22:40,2020/2/20 22:40,155.8
168,119,119,上海,2020/2/20 22:39,2020/2/20 22:39,0
169,66.9,66.9,天津,2020/2/20 22:39,2020/2/20 22:39,0
170,69,69,四川省,2020/2/20 22:38,2020/2/21 12:31,0
171,69,69,河南省,2020/2/20 22:37,2020/2/20 22:37,0
172,108,108,云南省,2020/2/20 22:36,2020/2/20 22:36,0
173,34.9,34.9,安徽省,2020/2/20 22:36,2020/2/20 22:36,0
174,152,152,北京,2020/2/20 22:36,2020/2/20 22:36,0
175,224,0,山东省,2020/2/20 22:35,,0
176,119,119,广东省,2020/2/20 22:35,2020/2/20 22:35,0
177,72.9,0,天津,2020/2/20 22:35,2020/2/20 22:36,72.9
178,96.8,0,浙江省,2020/2/20 22:35,,0
179,119,119,云南省,2020/2/20 22:34,2020/2/20 22:34,0
180,151,151,上海,2020/2/20 22:34,2020/2/20 22:34,0
181,165.7,165.7,吉林省,2020/2/20 22:34,2020/2/20 22:34,0
182,37,0,江苏省,2020/2/20 22:32,2020/2/20 22:33,37
183,37,0,浙江省,2020/2/20 22:32,,0
184,72.9,0,天津,2020/2/20 22:32,,0
185,59,59,河南省,2020/2/20 22:32,2020/2/20 22:32,0
186,178.8,0,北京,2020/2/20 22:32,2020/2/20 22:32,178.8
187,270,0,北京,2020/2/20 22:31,2020/2/20 22:31,270
188,69,69,江苏省,2020/2/20 22:31,2020/2/20 22:31,0
189,178.8,178.8,重庆,2020/2/20 22:30,2020/2/20 22:31,0
190,34.9,0,重庆,2020/2/20 22:30,,0
191,119,119,江苏省,2020/2/20 22:30,2020/2/20 22:30,0
192,119,119,浙江省,2020/2/20 22:29,2020/2/20 22:30,0
193,37,37,浙江省,2020/2/20 22:29,2020/2/20 22:30,0
194,64.8,64.8,重庆,2020/2/20 22:29,2020/2/20 22:29,0
195,180.9,180.9,陕西省,2020/2/20 22:29,2020/2/20 22:29,0
196,119,119,江苏省,2020/2/20 22:28,2020/2/20 22:28,0
197,238,238,辽宁省,2020/2/20 22:28,2020/2/20 22:28,0
198,34.9,0,重庆,2020/2/20 22:28,,0
199,119,119,云南省,2020/2/20 22:27,2020/2/20 22:27,0
200,119,0,湖北省,2020/2/20 22:27,2020/2/20 22:27,119
201,66.9,66.9,福建省,2020/2/20 22:27,2020/2/20 22:27,0
202,37,37,湖南省,2020/2/20 22:27,2020/2/20 22:31,0
203,81,81,北京,2020/2/20 22:27,2020/2/20 22:27,0
204,180.9,0,浙江省,2020/2/20 22:27,2020/2/20 22:37,180.9
205,94.7,94.7,北京,2020/2/20 22:27,2020/2/20 22:27,0
206,43,0,安徽省,2020/2/20 22:26,,0
207,101,101,广东省,2020/2/20 22:26,2020/2/21 2:25,0
208,37,37,云南省,2020/2/20 22:26,2020/2/20 22:26,0
209,34.9,34.9,江苏省,2020/2/20 22:25,2020/2/20 22:26,0
210,101,101,云南省,2020/2/20 22:25,2020/2/20 22:26,0
211,34.9,0,湖南省,2020/2/20 22:25,2020/2/20 22:25,34.9
212,183,183,北京,2020/2/20 22:25,2020/2/20 22:26,0
213,238,238,四川省,2020/2/20 22:25,2020/2/20 22:25,0
214,43,43,安徽省,2020/2/20 22:24,2020/2/20 22:24,0
215,121.7,0,山东省,2020/2/20 22:24,2020/2/20 22:24,121.7
216,208.7,208.7,天津,2020/2/20 22:23,2020/2/20 22:23,0
217,183,0,北京,2020/2/20 22:23,,0
218,64.8,64.8,北京,2020/2/20 22:23,2020/2/20 22:23,0
219,141.9,0,内蒙古自治区,2020/2/20 22:22,2020/2/20 22:23,141.9
220,69,69,天津,2020/2/20 22:22,2020/2/20 22:22,0
221,75,75,辽宁省,2020/2/20 22:22,2020/2/20 22:23,0
222,43,0,湖北省,2020/2/20 22:20,2020/2/20 22:21,43
223,327.7,327.7,浙江省,2020/2/20 22:20,2020/2/20 22:28,0
224,334,302,江苏省,2020/2/20 22:19,2020/2/20 22:20,32
225,453,453,四川省,2020/2/20 22:19,2020/2/20 22:19,0
226,119.6,119.6,上海,2020/2/20 22:19,2020/2/20 22:19,0
227,50.9,0,河北省,2020/2/20 22:19,,0
228,148.9,148.9,福建省,2020/2/20 22:19,2020/2/20 22:19,0
229,34.9,34.9,四川省,2020/2/20 22:19,2020/2/20 22:19,0
230,69,69,山东省,2020/2/20 22:18,2020/2/20 22:19,0
231,37,37,海南省,2020/2/20 22:18,2020/2/20 22:19,0
232,270,0,重庆,2020/2/20 22:17,2020/2/20 22:17,270
233,34.9,0,山东省,2020/2/20 22:16,2020/2/20 22:17,34.9
234,119,0,江苏省,2020/2/20 22:16,2020/2/20 22:16,119
235,69,69,湖南省,2020/2/20 22:16,2020/2/20 22:16,0
236,64.8,0,山东省,2020/2/20 22:15,2020/2/20 22:15,64.8
237,238,238,河北省,2020/2/20 22:15,2020/2/20 22:15,0
238,102.8,102.8,江苏省,2020/2/20 22:14,2020/2/20 22:14,0
239,43,43,浙江省,2020/2/20 22:14,2020/2/20 22:14,0
240,43,0,浙江省,2020/2/20 22:14,,0
241,34.9,0,重庆,2020/2/20 22:13,,0
242,247,247,四川省,2020/2/20 22:13,2020/2/20 22:13,0
243,238,0,江苏省,2020/2/20 22:12,2020/2/20 22:13,238
244,119,119,安徽省,2020/2/20 22:12,2020/2/20 22:12,0
245,119,119,陕西省,2020/2/20 22:12,2020/2/20 22:12,0
246,43,0,安徽省,2020/2/20 22:11,,0
247,37,0,山东省,2020/2/20 22:11,,0
248,119,119,江苏省,2020/2/20 22:11,2020/2/20 22:11,0
249,37,5,河北省,2020/2/20 22:10,2020/2/20 22:10,32
250,69,69,吉林省,2020/2/20 22:10,2020/2/20 22:10,0
251,81,5,山东省,2020/2/20 22:10,2020/2/20 22:10,76
252,69,69,贵州省,2020/2/20 22:10,2020/2/20 22:10,0
253,37,0,河北省,2020/2/20 22:10,,0
254,119,119,江苏省,2020/2/20 22:08,2020/2/20 22:08,0
255,69,69,黑龙江省,2020/2/20 22:08,2020/2/20 22:08,0
256,37,0,辽宁省,2020/2/20 22:08,2020/2/20 22:12,37
257,183,183,上海,2020/2/20 22:07,2020/2/20 22:08,0
258,398,398,安徽省,2020/2/20 22:07,2020/2/20 22:07,0
259,128,0,上海,2020/2/20 22:07,2020/2/20 22:07,128
260,151,151,北京,2020/2/20 22:07,2020/2/20 22:07,0
261,119,119,广东省,2020/2/20 22:07,2020/2/20 22:07,0
262,53,0,山东省,2020/2/20 22:06,2020/2/20 22:06,53
263,69,69,上海,2020/2/20 22:06,2020/2/20 22:06,0
264,212.9,93.9,山东省,2020/2/20 22:06,2020/2/20 22:06,119
265,37,0,黑龙江省,2020/2/20 22:06,,0
266,119,119,吉林省,2020/2/20 22:05,2020/2/20 22:05,0
267,186.9,186.9,山东省,2020/2/20 22:05,2020/2/20 22:05,0
268,160,0,上海,2020/2/20 22:05,,0
269,37,37,浙江省,2020/2/20 22:05,2020/2/20 22:05,0
270,64.8,64.8,北京,2020/2/20 22:04,2020/2/20 22:04,0
271,640,0,吉林省,2020/2/20 22:04,,0
272,34.9,34.9,河北省,2020/2/20 22:04,2020/2/20 22:04,0
273,178.8,178.8,上海,2020/2/20 22:04,2020/2/20 22:04,0
274,64.8,64.8,吉林省,2020/2/20 22:03,2020/2/20 22:03,0
275,21,21,辽宁省,2020/2/20 22:03,2020/2/20 22:03,0
276,37,37,山东省,2020/2/20 22:02,2020/2/20 22:02,0
277,119,119,上海,2020/2/20 22:02,2020/2/20 22:02,0
278,119,119,北京,2020/2/20 22:02,2020/2/20 22:02,0
279,98.9,98.9,山东省,2020/2/20 22:02,2020/2/20 22:02,0
280,119,119,江西省,2020/2/20 22:02,2020/2/20 22:02,0
281,64.8,64.8,广西壮族自治区,2020/2/20 22:01,2020/2/20 22:02,0
282,64.8,64.8,四川省,2020/2/20 22:01,2020/2/20 22:01,0
283,98.9,0,山东省,2020/2/20 22:00,,0
284,34.9,19.9,浙江省,2020/2/20 22:00,2020/2/20 22:00,15
285,75,75,上海,2020/2/20 22:00,2020/2/20 22:00,0
286,366,366,安徽省,2020/2/20 22:00,2020/2/20 22:00,0
287,119,119,河北省,2020/2/20 21:59,2020/2/20 21:59,0
288,119,0,湖南省,2020/2/20 21:58,2020/2/20 22:11,119
289,98.9,0,山东省,2020/2/20 21:58,,0
290,69,69,四川省,2020/2/20 21:58,2020/2/20 21:58,0
291,119,0,天津,2020/2/20 21:57,2020/2/20 21:57,119
292,178.8,178.8,上海,2020/2/20 21:57,2020/2/20 22:12,0
293,37,37,辽宁省,2020/2/20 21:57,2020/2/20 21:57,0
294,119,119,北京,2020/2/20 21:57,2020/2/20 21:57,0
295,238,238,北京,2020/2/20 21:56,2020/2/20 21:57,0
296,34.9,34.9,安徽省,2020/2/20 21:55,2020/2/20 21:56,0
297,327.7,327.7,江苏省,2020/2/20 21:55,2020/2/20 21:56,0
298,101,101,北京,2020/2/20 21:55,2020/2/20 21:56,0
299,66.9,0,广西壮族自治区,2020/2/20 21:55,,0
300,66.9,0,浙江省,2020/2/20 21:55,2020/2/20 21:55,66.9
301,160,160,上海,2020/2/20 21:55,2020/2/20 21:55,0
302,119,119,江西省,2020/2/20 21:55,2020/2/20 21:55,0
303,69,69,四川省,2020/2/20 21:54,2020/2/20 21:54,0
304,178.8,178.8,河北省,2020/2/20 21:53,2020/2/20 21:54,0
305,119,119,广东省,2020/2/20 21:53,2020/2/20 21:53,0
306,183,119,湖南省,2020/2/20 21:53,2020/2/20 21:53,64
307,238,238,北京,2020/2/20 21:53,2020/2/20 21:53,0
308,192,0,北京,2020/2/20 21:53,,0
309,32,32,江苏省,2020/2/20 21:53,2020/2/20 21:54,0
310,32,32,北京,2020/2/20 21:52,2020/2/20 21:54,0
311,37,0,上海,2020/2/20 21:51,,0
312,37,37,山东省,2020/2/20 21:51,2020/2/20 21:51,0
313,37,0,湖南省,2020/2/20 21:51,2020/2/20 21:51,37
314,151,151,北京,2020/2/20 21:50,2020/2/20 21:50,0
315,69,69,四川省,2020/2/20 21:50,2020/2/20 21:50,0
316,148.9,0,河北省,2020/2/20 21:49,,0
317,215,0,浙江省,2020/2/20 21:47,2020/2/20 21:47,215
318,119,119,浙江省,2020/2/20 21:47,2020/2/20 21:47,0
319,119,119,上海,2020/2/20 21:47,2020/2/20 21:47,0
320,119,0,云南省,2020/2/20 21:46,,0
321,98.9,98.9,河南省,2020/2/20 21:46,2020/2/20 21:46,0
322,119,119,北京,2020/2/20 21:45,2020/2/20 21:45,0
323,151,0,河北省,2020/2/20 21:45,,0
324,238,238,上海,2020/2/20 21:44,2020/2/20 21:45,0
325,128,128,河南省,2020/2/20 21:44,2020/2/20 21:53,0
326,37,37,浙江省,2020/2/20 21:44,2020/2/20 21:44,0
327,119,0,云南省,2020/2/20 21:44,,0
328,119,119,北京,2020/2/20 21:43,2020/2/20 21:44,0
329,119,0,广东省,2020/2/20 21:43,,0
330,119,0,上海,2020/2/20 21:43,,0
331,108,0,内蒙古自治区,2020/2/20 21:42,2020/2/20 21:42,108
332,119,119,广东省,2020/2/20 21:42,2020/2/20 21:42,0
333,238,238,河北省,2020/2/20 21:41,2020/2/20 21:41,0
334,119,0,云南省,2020/2/20 21:41,,0
335,119,0,北京,2020/2/20 21:40,,0
336,89.7,89.7,四川省,2020/2/20 21:40,2020/2/20 21:40,0
337,180.9,180.9,北京,2020/2/20 21:38,2020/2/20 21:39,0
338,37,37,上海,2020/2/20 21:38,2020/2/20 21:38,0
339,101,101,安徽省,2020/2/20 21:38,2020/2/20 21:38,0
340,98.9,98.9,天津,2020/2/20 21:38,2020/2/20 21:38,0
341,148.9,148.9,山东省,2020/2/20 21:37,2020/2/20 21:37,0
342,69,0,安徽省,2020/2/20 21:37,,0
343,270,270,河北省,2020/2/20 21:36,2020/2/20 21:42,0
344,119,0,安徽省,2020/2/20 21:36,,0
345,148.9,0,河南省,2020/2/20 21:35,2020/2/20 21:45,148.9
346,247,247,云南省,2020/2/20 21:35,2020/2/20 21:35,0
347,151,151,山西省,2020/2/20 21:34,2020/2/20 21:34,0
348,238,238,云南省,2020/2/20 21:34,2020/2/20 21:34,0
349,81,81,重庆,2020/2/20 21:34,2020/2/20 21:34,0
350,37,37,江西省,2020/2/20 21:33,2020/2/20 21:33,0
351,53,53,辽宁省,2020/2/20 21:33,2020/2/20 21:34,0
352,119,119,黑龙江省,2020/2/20 21:33,2020/2/20 21:33,0
353,21,0,浙江省,2020/2/20 21:33,2020/2/20 21:33,21
354,140,140,山东省,2020/2/20 21:32,2020/2/20 21:33,0
355,101,0,上海,2020/2/20 21:32,,0
356,244.9,0,云南省,2020/2/20 21:32,,0
357,59.8,0,四川省,2020/2/20 21:32,2020/2/20 21:32,59.8
358,105.7,0,江苏省,2020/2/20 21:31,2020/2/20 21:31,105.7
359,366,366,河北省,2020/2/20 21:29,2020/2/21 4:54,0
360,302,302,吉林省,2020/2/20 21:29,2020/2/20 21:29,0
361,178,178,青海省,2020/2/20 21:28,2020/2/20 21:29,0
362,105.7,105.7,江苏省,2020/2/20 21:28,2020/2/20 21:28,0
363,81,0,重庆,2020/2/20 21:28,2020/2/20 21:32,81
364,72.9,72.9,江苏省,2020/2/20 21:27,2020/2/20 21:27,0
365,270,270,江苏省,2020/2/20 21:27,2020/2/20 21:27,0
366,105.7,0,广东省,2020/2/20 21:27,2020/2/20 21:27,105.7
367,238,238,山东省,2020/2/20 21:26,2020/2/20 21:26,0
368,119,119,天津,2020/2/20 21:25,2020/2/20 21:26,0
369,135,0,上海,2020/2/20 21:25,,0
370,96.8,96.8,天津,2020/2/20 21:25,2020/2/20 21:27,0
371,43,0,山东省,2020/2/20 21:25,2020/2/20 21:25,43
372,128,128,江苏省,2020/2/20 21:24,2020/2/20 21:24,0
373,37,0,山东省,2020/2/20 21:23,2020/2/20 21:23,37
374,334,334,广东省,2020/2/20 21:23,2020/2/20 21:23,0
375,69,69,广西壮族自治区,2020/2/20 21:22,2020/2/20 21:23,0
376,72.9,0,江苏省,2020/2/20 21:21,,0
377,69,69,贵州省,2020/2/20 21:21,2020/2/20 21:21,0
378,37,0,上海,2020/2/20 21:21,2020/2/20 21:22,37
379,183,183,广西壮族自治区,2020/2/20 21:21,2020/2/20 21:21,0
380,302,302,天津,2020/2/20 21:21,2020/2/20 21:21,0
381,432.7,0,内蒙古自治区,2020/2/20 21:20,2020/2/20 21:21,432.7
382,37,37,浙江省,2020/2/20 21:20,2020/2/20 21:20,0
383,247,247,广东省,2020/2/20 21:20,2020/2/20 21:21,0
384,34.9,0,山东省,2020/2/20 21:20,2020/2/20 21:20,34.9
385,80.8,0,江苏省,2020/2/20 21:20,,0
386,69,69,广东省,2020/2/20 21:19,2020/2/20 21:19,0
387,94.7,94.7,湖南省,2020/2/20 21:19,2020/2/20 21:19,0
388,238,238,上海,2020/2/20 21:18,2020/2/20 21:19,0
389,119,0,天津,2020/2/20 21:18,2020/2/20 21:18,119
390,167,167,河北省,2020/2/20 21:17,2020/2/20 21:18,0
391,178.8,178.8,内蒙古自治区,2020/2/20 21:17,2020/2/20 21:17,0
392,53,0,广东省,2020/2/20 21:17,,0
393,119,0,浙江省,2020/2/20 21:16,2020/2/20 21:16,119
394,85,0,天津,2020/2/20 21:16,,0
395,37,37,广东省,2020/2/20 21:16,2020/2/20 21:16,0
396,64.8,64.8,浙江省,2020/2/20 21:15,2020/2/20 21:21,0
397,101,101,上海,2020/2/20 21:15,2020/2/20 21:16,0
398,37,37,四川省,2020/2/20 21:14,2020/2/20 21:14,0
399,119,0,上海,2020/2/20 21:14,2020/2/20 21:14,119
400,128,0,云南省,2020/2/20 21:14,2020/2/20 21:15,128
401,119,119,广东省,2020/2/20 21:13,2020/2/20 21:13,0
402,178.8,178.8,吉林省,2020/2/20 21:13,2020/2/20 21:13,0
403,69,0,四川省,2020/2/20 21:13,,0
404,119,0,山东省,2020/2/20 21:12,2020/2/20 21:12,119
405,64.8,64.8,北京,2020/2/20 21:12,2020/2/20 21:12,0
406,43,43,吉林省,2020/2/20 21:11,2020/2/20 21:11,0
407,439,439,天津,2020/2/20 21:11,2020/2/20 21:11,0
408,208.7,0,天津,2020/2/20 21:11,2020/2/20 21:11,208.7
409,215,215,北京,2020/2/20 21:10,2020/2/20 21:10,0
410,119,119,云南省,2020/2/20 21:10,2020/2/20 21:10,0
